hc_frac,hp_frac,policy,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate
0.1,0.4,Always-edge,0.0,0.07878787878787878,0.34286710847575863,0.6612409409758554,0.33760127314814814,0.6815321180555555,0.0
0.1,0.4,Always-cloud,0.16363636363636364,0.2808080808080808,0.10250746037282488,0.17141417664612643,0.7919560185185185,0.2094184027777778,1.0
0.1,0.4,Cloud point+threshold,0.4969696969696969,0.9333333333333332,0.02100530946014029,0.04902530713482928,0.9035011574074074,0.07356770833333333,1.0
0.1,0.4,HERA-full,0.16363636363636364,0.2808080808080808,0.10177111188621478,0.1518428089757005,0.8102213541666666,0.19115306712962965,0.6815321180555555
0.1,0.4,Width gate (matched),0.16363636363636364,0.2808080808080808,0.10188737743673215,0.15195907452621787,0.8101128472222223,0.19126157407407407,0.6839192708333334
0.1,0.6,Always-edge,0.0,0.07878787878787878,0.3312522511706087,0.7705206707487894,0.23885995370370372,0.7914134837962963,0.0
0.1,0.6,Always-cloud,0.06262626262626263,0.2808080808080808,0.08612478488814183,0.6910793612678593,0.30595341435185186,0.7017505787037037,1.0
0.1,0.6,Cloud point+threshold,0.29090909090909095,0.9333333333333332,0.019410093248489215,0.08292312002241166,0.8661747685185185,0.1298828125,1.0
0.1,0.6,HERA-full,0.06262626262626263,0.2808080808080808,0.08612478488814183,0.5321167006843558,0.4496166087962963,0.5580873842592592,0.7914134837962963
0.1,0.6,Width gate (matched),0.06262626262626263,0.2808080808080808,0.08612478488814183,0.5329171169007884,0.4488932291666667,0.558810763888889,0.7923900462962963
0.2,0.6,Always-edge,0.0,0.05925925925925926,0.4741665666146396,0.7705206707487894,0.2496021412037037,0.7914134837962963,0.0
0.2,0.6,Always-cloud,0.09206349206349207,0.23597883597883598,0.09653019570176491,0.6910793612678593,0.3138382523148148,0.7017505787037037,1.0
0.2,0.6,Cloud point+threshold,0.34179894179894177,0.77989417989418,0.0280545883859607,0.08292312002241166,0.8595920138888888,0.1298828125,1.0
0.2,0.6,HERA-full,0.09206349206349207,0.23597883597883598,0.0959298835394405,0.5321167006843558,0.45750144675925924,0.5580873842592592,0.7914134837962963
0.2,0.6,Width gate (matched),0.09206349206349207,0.23597883597883598,0.0959298835394405,0.5329171169007884,0.4567780671296296,0.558810763888889,0.7923900462962963
0.2,0.8,Always-edge,0.0,0.05925925925925926,0.46531994877514765,0.839096129218821,0.19064670138888887,0.8583984375,0.0
0.2,0.8,Always-cloud,0.014814814814814815,0.23597883597883598,0.08030734911389267,0.9751724707729169,0.07917390046296297,0.973343460648148,1.0
0.2,0.8,Cloud point+threshold,0.20211640211640214,0.77989417989418,0.021687941504523484,0.4183913743958359,0.5594618055555555,0.45185908564814814,1.0
0.2,0.8,HERA-full,0.014814814814814815,0.23597883597883598,0.07968769364233487,0.814268599991738,0.21932870370370372,0.8317418981481483,0.8583984375
0.2,0.8,Width gate (matched),0.014814814814814815,0.23597883597883598,0.07968769364233487,0.814764324368984,0.21896701388888892,0.8322482638888888,0.8589048032407408
0.3,0.8,Always-edge,0.0,0.03799283154121864,0.5788408311645392,0.839096129218821,0.20167824074074073,0.8583984375,0.0
0.3,0.8,Always-cloud,0.015770609318996417,0.23154121863799282,0.10145825587639938,0.9751724707729169,0.08430989583333333,0.973343460648148,1.0
0.3,0.8,Cloud point+threshold,0.2279569892473118,0.6724014336917562,0.02544718469864089,0.4183913743958359,0.5526620370370371,0.45185908564814814,1.0
0.3,0.8,HERA-full,0.015770609318996417,0.23154121863799282,0.09170900979055645,0.814268599991738,0.2244646990740741,0.8317418981481483,0.8583984375
0.3,0.8,Width gate (matched),0.015770609318996417,0.23154121863799282,0.09170900979055645,0.814764324368984,0.22410300925925927,0.8322482638888888,0.8589048032407408
