bearing,model,cov,below,above,condition,life_s,life_rel
Bearing1_1,cloud,0.7859078590785908,0.21409214092140924,0.0,1,7320.0,1.0
Bearing1_1,edge,1.0,0.0,0.0,1,7320.0,1.0
Bearing1_2,cloud,0.979296066252588,0.0,0.020703933747412008,1,9600.0,1.3114754098360655
Bearing1_2,edge,1.0,0.0,0.0,1,9600.0,1.3114754098360655
Bearing1_3,cloud,1.0,0.0,0.0,1,9420.0,1.2868852459016393
Bearing1_3,edge,1.0,0.0,0.0,1,9420.0,1.2868852459016393
Bearing1_4,cloud,0.3715846994535519,0.6229508196721311,0.00546448087431694,1,7260.0,0.9918032786885246
Bearing1_4,edge,0.814207650273224,0.17759562841530055,0.00819672131147541,1,7260.0,0.9918032786885246
Bearing1_5,cloud,0.1923076923076923,0.8076923076923078,0.0,1,3060.0,0.4180327868852459
Bearing1_5,edge,1.0,0.0,0.0,1,3060.0,0.4180327868852459
Bearing2_1,cloud,0.9395790902919212,0.06042090970807875,0.0,2,29400.0,1.4497041420118344
Bearing2_1,edge,0.9993211133740666,0.0006788866259334691,0.0,2,29400.0,1.4497041420118344
Bearing2_2,cloud,0.8322981366459627,0.0,0.16770186335403725,2,9600.0,0.47337278106508873
Bearing2_2,edge,1.0,0.0,0.0,2,9600.0,0.47337278106508873
Bearing2_3,cloud,0.551594746716698,0.0,0.44840525328330205,2,31920.0,1.5739644970414202
Bearing2_3,edge,1.0,0.0,0.0,2,31920.0,1.5739644970414202
Bearing2_4,cloud,0.07936507936507936,0.9206349206349206,0.0,2,2460.0,0.12130177514792899
Bearing2_4,edge,0.9206349206349206,0.07936507936507936,0.0,2,2460.0,0.12130177514792899
Bearing2_5,cloud,0.8829891838741396,0.003933136676499509,0.11307767944936087,2,20280.0,1.0
Bearing2_5,edge,0.9980334316617503,0.0019665683382497543,0.0,2,20280.0,1.0
Bearing3_1,cloud,0.9998686629892304,0.0,0.0001313370107696349,3,152220.0,1.6756935270805813
Bearing3_1,edge,1.0,0.0,0.0,3,152220.0,1.6756935270805813
Bearing3_2,cloud,0.9740918803418803,0.02590811965811966,0.0,3,149700.0,1.6479524438573316
Bearing3_2,edge,0.9802350427350427,0.019764957264957264,0.0,3,149700.0,1.6479524438573316
Bearing3_3,cloud,0.87151841868823,0.12848158131176998,0.0,3,22200.0,0.24438573315719947
Bearing3_3,edge,0.9460916442048518,0.053908355795148244,0.0,3,22200.0,0.24438573315719947
Bearing3_4,cloud,1.0,0.0,0.0,3,90840.0,1.0
Bearing3_4,edge,0.9977997799779977,0.00044004400440044003,0.0017601760176017601,3,90840.0,1.0
Bearing3_5,cloud,0.97953216374269,0.02046783625730994,0.0,3,6780.0,0.07463672391017173
Bearing3_5,edge,1.0,0.0,0.0,3,6780.0,0.07463672391017173
