bearing,rul_at_alarm_s,outcome,policy,seed
Bearing2_1,2100.0,timely,Cloud point+threshold,1
Bearing2_2,9480.0,premature,Cloud point+threshold,1
Bearing2_3,12480.0,premature,Cloud point+threshold,1
Bearing2_4,180.0,late,Cloud point+threshold,1
Bearing2_5,11280.0,premature,Cloud point+threshold,1
Bearing3_1,152100.0,premature,Cloud point+threshold,1
Bearing3_2,148080.0,premature,Cloud point+threshold,1
Bearing3_3,1380.0,timely,Cloud point+threshold,1
Bearing3_4,5520.0,timely,Cloud point+threshold,1
Bearing3_5,2640.0,timely,Cloud point+threshold,1
Bearing1_1,6840.0,premature,HERA-full,1
Bearing1_2,9480.0,premature,HERA-full,1
Bearing1_3,8880.0,premature,HERA-full,1
Bearing1_4,7140.0,premature,HERA-full,1
Bearing1_5,2940.0,timely,HERA-full,1
Bearing2_1,29280.0,premature,HERA-full,1
Bearing2_2,9480.0,premature,HERA-full,1
Bearing2_3,31620.0,premature,HERA-full,1
Bearing2_4,1020.0,late,HERA-full,1
Bearing2_5,10980.0,premature,HERA-full,1
Bearing3_1,152100.0,premature,HERA-full,1
Bearing3_2,149580.0,premature,HERA-full,1
Bearing3_3,22080.0,premature,HERA-full,1
Bearing3_4,87480.0,premature,HERA-full,1
Bearing3_5,6660.0,premature,HERA-full,1
Bearing1_1,6840.0,premature,Width gate (matched),1
Bearing1_2,9480.0,premature,Width gate (matched),1
Bearing1_3,8880.0,premature,Width gate (matched),1
Bearing1_4,7140.0,premature,Width gate (matched),1
Bearing1_5,2940.0,timely,Width gate (matched),1
Bearing2_1,29280.0,premature,Width gate (matched),1
Bearing2_2,9480.0,premature,Width gate (matched),1
Bearing2_3,31620.0,premature,Width gate (matched),1
Bearing2_4,1020.0,late,Width gate (matched),1
Bearing2_5,10980.0,premature,Width gate (matched),1
Bearing3_1,152100.0,premature,Width gate (matched),1
Bearing3_2,149580.0,premature,Width gate (matched),1
Bearing3_3,22080.0,premature,Width gate (matched),1
Bearing3_4,87480.0,premature,Width gate (matched),1
Bearing3_5,6660.0,premature,Width gate (matched),1
Bearing1_1,7200.0,premature,Always-edge,2
Bearing1_2,9480.0,premature,Always-edge,2
Bearing1_3,9300.0,premature,Always-edge,2
Bearing1_4,7140.0,premature,Always-edge,2
Bearing1_5,2940.0,timely,Always-edge,2
Bearing2_1,29280.0,premature,Always-edge,2
Bearing2_2,9480.0,premature,Always-edge,2
Bearing2_3,31800.0,premature,Always-edge,2
Bearing2_4,2340.0,timely,Always-edge,2
Bearing2_5,20160.0,premature,Always-edge,2
Bearing3_1,152100.0,premature,Always-edge,2
Bearing3_2,149580.0,premature,Always-edge,2
Bearing3_3,22080.0,premature,Always-edge,2
Bearing3_4,90720.0,premature,Always-edge,2
Bearing3_5,6660.0,premature,Always-edge,2
Bearing1_1,6840.0,premature,Always-cloud,2
Bearing1_2,9480.0,premature,Always-cloud,2
Bearing1_3,8700.0,premature,Always-cloud,2
