detector,seed_mean,seed_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
Anomaly score $a_t$ (edge),1.0,1.0,0.21285140562248997,0.0,0.3365079365079365,0.0,0.2607626076260763,0.0,0.8024035109306428,0.0,0.24243098359210316,0.0
Isolation Forest,1.0,1.0,0.1519360613313097,0.041627293904748494,0.1312169312169312,0.051613749833892913,0.13201906773421293,0.01715975504760942,0.8136083039239989,0.004265640698011585,0.11249012237962823,0.012376983261755516
Edge CQR lower bound,1.0,1.0,0.06324089418030775,0.008538881087167412,0.9407407407407408,0.06789001029564203,0.11849569029510183,0.015544158665531632,0.8230575721531794,0.031973999956594584,0.09905322500491875,0.01090356017064836
Cloud CQR lower bound (+DT),1.0,1.0,0.17297988926257804,0.0044540594201771455,0.7640211640211639,0.021137549582474213,0.282087124806996,0.007228603968895536,0.8098747599253161,0.007889221721726439,0.14844763163744665,0.0023239502131723977
