policy,eps,seed,fold,lambda,n_cal
"Always-cloud, CRC + burn-in",0.2,2,4,3435.0,12
"Always-cloud, CRC + burn-in",0.25,2,4,3300.0,12
"Always-cloud, CRC + burn-in",0.3,2,4,3300.0,12
"Always-cloud, CRC + burn-in",0.4,2,4,3075.0,12
"Always-cloud, CRC",0.1,2,4,4807.5,12
"Always-cloud, CRC",0.15,2,4,4807.5,12
"Always-cloud, CRC",0.2,2,4,3300.0,12
"Always-cloud, CRC",0.25,2,4,3187.5,12
"Always-cloud, CRC",0.3,2,4,3187.5,12
"Always-cloud, CRC",0.4,2,4,2197.5,12
"Always-edge, CRC",0.1,2,4,2265.0,12
"Always-edge, CRC",0.15,2,4,2265.0,12
"Always-edge, CRC",0.2,2,4,2040.0,12
"Always-edge, CRC",0.25,2,4,1612.5,12
"Always-edge, CRC",0.3,2,4,1612.5,12
"Always-edge, CRC",0.4,2,4,1320.0,12
"Cloud point, fixed thr. H_p",,2,4,0.0,12
"Cloud point, fixed thr. H_c",,2,4,0.0,12
Anomaly threshold,,2,4,0.0,12
