policy,eps,seed,fold,bearing,outcome,rul_at_alarm_s,lambda,esc_frac,bytes_per_snapshot,life_s
"HERA-v3b (onset gate + burn-in, CRC)",0.15,0,4,Bearing3_5,timely,5940.0,4785.0,0.8947368421052632,124.0,6780.0
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0,4,Bearing1_5,late,840.0,4087.5,0.7692307692307693,124.0,3060.0
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0,4,Bearing2_5,premature,9420.0,4087.5,0.471976401179941,75.10324483775811,20280.0
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0,4,Bearing3_5,timely,5940.0,4087.5,0.8947368421052632,124.0,6780.0
"HERA-v3b (onset gate + burn-in, CRC)",0.25,0,4,Bearing1_5,late,,2400.0,0.7692307692307693,124.0,3060.0
"HERA-v3b (onset gate + burn-in, CRC)",0.25,0,4,Bearing2_5,premature,8580.0,2400.0,0.471976401179941,75.10324483775811,20280.0
"HERA-v3b (onset gate + burn-in, CRC)",0.25,0,4,Bearing3_5,timely,5160.0,2400.0,0.8947368421052632,124.0,6780.0
"HERA-v3b (onset gate + burn-in, CRC)",0.3,0,4,Bearing1_5,late,,2400.0,0.7692307692307693,124.0,3060.0
"HERA-v3b (onset gate + burn-in, CRC)",0.3,0,4,Bearing2_5,premature,8580.0,2400.0,0.471976401179941,75.10324483775811,20280.0
"HERA-v3b (onset gate + burn-in, CRC)",0.3,0,4,Bearing3_5,timely,5160.0,2400.0,0.8947368421052632,124.0,6780.0
"HERA-v3b (onset gate + burn-in, CRC)",0.4,0,4,Bearing1_5,late,,2332.5,0.7692307692307693,124.0,3060.0
"HERA-v3b (onset gate + burn-in, CRC)",0.4,0,4,Bearing2_5,premature,8580.0,2332.5,0.471976401179941,75.10324483775811,20280.0
"HERA-v3b (onset gate + burn-in, CRC)",0.4,0,4,Bearing3_5,timely,5160.0,2332.5,0.8947368421052632,124.0,6780.0
"Always-cloud, CRC + burn-in",0.1,0,4,Bearing1_5,timely,2340.0,4785.0,1.0,112.0,3060.0
"Always-cloud, CRC + burn-in",0.1,0,4,Bearing2_5,premature,19560.0,4785.0,1.0,112.0,20280.0
"Always-cloud, CRC + burn-in",0.1,0,4,Bearing3_5,premature,6060.0,4785.0,1.0,112.0,6780.0
"Always-cloud, CRC + burn-in",0.15,0,4,Bearing1_5,timely,2340.0,4785.0,1.0,112.0,3060.0
"Always-cloud, CRC + burn-in",0.15,0,4,Bearing2_5,premature,19560.0,4785.0,1.0,112.0,20280.0
"Always-cloud, CRC + burn-in",0.15,0,4,Bearing3_5,premature,6060.0,4785.0,1.0,112.0,6780.0
"Always-cloud, CRC + burn-in",0.2,0,4,Bearing1_5,late,840.0,4087.5,1.0,112.0,3060.0
"Always-cloud, CRC + burn-in",0.2,0,4,Bearing2_5,premature,11040.0,4087.5,1.0,112.0,20280.0
"Always-cloud, CRC + burn-in",0.2,0,4,Bearing3_5,timely,6000.0,4087.5,1.0,112.0,6780.0
"Always-cloud, CRC + burn-in",0.25,0,4,Bearing1_5,late,,2400.0,1.0,112.0,3060.0
