bearing,unsafe_hera,fm_hera,cov_hera,unsafe_cloud,fm_cloud,cov_cloud,unsafe_edge,fm_edge,cov_edge,unsafe_point,fm_point,cov_point,unsafe_width,fm_width,cov_width,escalation
Bearing1_1,0.0,0.8172043010752689,0.7859078590785908,0.0,0.8172043010752689,0.7859078590785908,0.0,1.0,1.0,0.9206349206349206,0.0,0.0,0.0,0.8172043010752689,0.7859078590785908,1.0
Bearing1_2,0.0,0.7866666666666666,0.979296066252588,0.0,0.7866666666666666,0.979296066252588,0.0,1.0,1.0,0.0,0.6133333333333333,0.0,0.0,0.7866666666666666,0.979296066252588,1.0
Bearing1_3,0.0,0.9450171821305843,1.0,0.0,0.9450171821305843,1.0,0.0,1.0,1.0,0.0,0.04810996563573883,0.0,0.0,0.9450171821305843,1.0,1.0
Bearing1_4,0.9682539682539683,0.180327868852459,0.3715846994535519,0.9682539682539683,0.180327868852459,0.3715846994535519,0.0,1.0,0.814207650273224,1.0,0.0,0.0,0.9682539682539683,0.180327868852459,0.3715846994535519,1.0
Bearing1_5,0.06349206349206349,,0.1923076923076923,0.06349206349206349,,0.1923076923076923,0.0,,1.0,0.4761904761904762,,0.0,0.06349206349206349,,0.1923076923076923,1.0
Bearing2_1,0.0,0.648062015503876,0.9395790902919212,0.0,0.648062015503876,0.9395790902919212,0.0,1.0,0.9993211133740666,0.19047619047619047,0.0,0.0,0.0,0.648062015503876,0.9395790902919212,1.0
Bearing2_2,0.0,1.0,0.8322981366459627,0.0,1.0,0.8322981366459627,0.0,1.0,1.0,0.0,0.73,0.0,0.0,1.0,0.8322981366459627,1.0
Bearing2_3,0.0,0.8142655367231638,0.551594746716698,0.0,0.8142655367231638,0.551594746716698,0.0,0.9978813559322034,1.0,0.0,0.3340395480225989,0.0,0.0,0.8142655367231638,0.551594746716698,0.9981238273921201
Bearing2_4,0.31746031746031744,,0.07936507936507936,0.31746031746031744,,0.07936507936507936,0.0,,0.9206349206349206,0.746031746031746,,0.0,0.31746031746031744,,0.07936507936507936,1.0
Bearing2_5,0.0,0.4424460431654676,0.8829891838741396,0.0,0.4424460431654676,0.8829891838741396,0.0,1.0,0.9980334316617503,0.0,0.38489208633093525,0.0,0.0,0.4424460431654676,0.8829891838741396,1.0
Bearing3_1,0.0,0.6844300901628314,0.9998686629892304,0.0,0.6844300901628314,0.9998686629892304,0.0,1.0,1.0,0.25396825396825395,0.014399138743103215,0.0,0.0,0.6844300901628314,0.9998686629892304,1.0
Bearing3_2,0.031746031746031744,0.6124572210814511,0.970219017094017,0.031746031746031744,0.821492128678987,0.9740918803418803,0.0,0.6747433264887063,0.9802350427350427,1.0,0.09253935660506503,0.0,0.031746031746031744,0.6146475017111568,0.970219017094017,0.6782852564102564
Bearing3_3,0.0,0.035483870967741936,0.87151841868823,0.0,0.035483870967741936,0.87151841868823,0.0,1.0,0.9460916442048518,0.20634920634920637,0.0,0.0,0.0,0.035483870967741936,0.87151841868823,1.0
Bearing3_4,0.0,0.048143053645116916,0.9995599559955995,0.0,0.6086657496561211,1.0,0.0,0.2308574048601559,0.9977997799779977,0.0,0.012379642365887207,0.0,0.0,0.04906006419073819,0.9995599559955995,0.2618261826182618
Bearing3_5,0.0,0.8742138364779874,0.97953216374269,0.0,0.8742138364779874,0.97953216374269,0.0,1.0,1.0,0.3333333333333333,0.1509433962264151,0.0,0.0,0.8742138364779874,0.97953216374269,1.0
