detector,seed_mean,seed_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
Anomaly score $a_t$ (edge),1.0,1.0,0.27477017364657813,0.0,0.25940212150433944,0.0,0.26686507936507936,0.0,0.8097404057583644,0.0,0.23996841998536875,0.0
Isolation Forest,1.0,1.0,0.2693946587270049,0.03322341710020274,0.148826743812279,0.015913717511393834,0.19072044451850556,0.01396171882998731,0.7698946285227347,0.005232239009359916,0.16097139187052376,0.01764507932759165
Edge CQR lower bound,1.0,1.0,0.07442542709168269,0.004764440169739269,0.6766313082610093,0.02843245822886019,0.1340167347774693,0.007232278200477706,0.7001734363946793,0.00748021179410791,0.10283813918796779,0.006228143134912063
Cloud CQR lower bound (+DT),1.0,1.0,0.05310154854486717,0.0028406744665522743,0.8238508518161364,0.04726480574141122,0.09977209293564311,0.005359182389558154,0.6480140740394547,0.011550832230148432,0.061959232942229214,0.0031748749539041443
