rep,n_cal,policy,eps,theta,late_rate,premature_rate,timely_rate,false_alarm_rate,median_lead,esc_frac
0,12,edge,0.05,0.01,0.002640845070422535,0.8688380281690141,0.12852112676056338,0.9793213647899238,179.0,0.0
0,12,edge,0.1,0.44,0.17165492957746478,0.43485915492957744,0.39348591549295775,0.5780618479180374,99.60000000000001,0.0
0,12,edge,0.2,0.475,0.19982394366197184,0.4022887323943662,0.397887323943662,0.5461039571388289,96.2,0.0
0,12,cloud,0.05,0.01,0.00528169014084507,0.7808098591549296,0.21390845070422534,0.9614625434721309,158.8,1.0
0,12,cloud,0.1,0.065,0.04753521126760563,0.6602112676056338,0.29225352112676056,0.793495629288467,134.39999999999998,1.0
0,12,cloud,0.2,0.28,0.2051056338028169,0.3961267605633803,0.3987676056338028,0.49769715198796877,95.8,1.0
0,12,hera,0.05,0.01,0.007042253521126761,0.7790492957746479,0.21390845070422534,0.9560109032803835,158.9,0.8938962210414961
0,12,hera,0.1,0.065,0.04929577464788732,0.659330985915493,0.2913732394366197,0.7912397781746405,134.39999999999998,0.7994514197301515
0,12,hera,0.2,0.28,0.2051056338028169,0.39524647887323944,0.3996478873239437,0.49685120782028386,95.6,0.6314057647910958
0,25,edge,0.05,0.335,0.0994718309859155,0.5378521126760564,0.3626760563380282,0.6764733527587179,113.60000000000001,0.0
0,25,edge,0.1,0.44,0.17165492957746478,0.43485915492957744,0.39348591549295775,0.5780618479180374,99.60000000000001,0.0
0,25,edge,0.2,0.495,0.21919014084507044,0.3829225352112676,0.397887323943662,0.5263652598928471,93.80000000000001,0.0
0,25,cloud,0.05,0.065,0.04753521126760563,0.6602112676056338,0.29225352112676056,0.793495629288467,134.39999999999998,1.0
0,25,cloud,0.1,0.25,0.17253521126760563,0.44014084507042256,0.3873239436619718,0.5274931854497603,100.4,1.0
0,25,cloud,0.2,0.385,0.2869718309859155,0.3045774647887324,0.4084507042253521,0.3922361124165805,84.39999999999999,1.0
0,25,hera,0.05,0.065,0.04929577464788732,0.659330985915493,0.2913732394366197,0.7912397781746405,134.39999999999998,0.7994514197301515
0,25,hera,0.1,0.25,0.17341549295774647,0.44014084507042256,0.386443661971831,0.5267412350784848,100.60000000000001,0.6499825215123526
0,25,hera,0.2,0.385,0.2878521126760563,0.30369718309859156,0.4084507042253521,0.39129617445248616,84.4,0.5718497382748031
0,50,edge,0.05,0.13,0.02464788732394366,0.7447183098591549,0.2306338028169014,0.8649309145596391,144.9,0.0
0,50,edge,0.1,0.335,0.0994718309859155,0.5378521126760564,0.3626760563380282,0.6764733527587179,113.60000000000001,0.0
0,50,edge,0.2,0.47,0.19454225352112675,0.4084507042253521,0.3970070422535211,0.5497697151987969,96.6,0.0
0,50,cloud,0.05,0.03,0.018485915492957746,0.7262323943661971,0.25528169014084506,0.8879593946799511,147.0,1.0
0,50,cloud,0.1,0.145,0.10211267605633803,0.545774647887324,0.352112676056338,0.6568286493091456,114.7,1.0
0,50,cloud,0.2,0.21,0.14348591549295775,0.48151408450704225,0.375,0.5738321270796127,105.6,1.0
