bearing,coverage,escalation,unsafe_hera,unsafe_cloud,unsafe_point,unsafe_width,false_maint_hera,false_maint_point
Bearing1_1,0.9536211202283268,0.9613509335236058,0.0,0.0,0.0546448087431694,0.0273224043715847,0.9646580218662599,0.25120772946859904
Bearing1_2,0.7772675086107922,0.9854573287409109,0.0,0.0,0.4207650273224044,0.0,0.9816425120772947,0.45845410628019323
Bearing1_3,0.8165614035087719,0.5799298245614035,0.0,0.0,0.0,0.0,0.44712853236098454,0.22637496201762383
Bearing1_4,0.7453314659197012,0.8246965452847806,0.0,0.0,0.0,0.0,0.5020048115477145,0.4899759422614274
Bearing1_5,0.9856543510623901,0.9367979428880768,0.0,0.0,0.551912568306011,0.0,0.9317849839322232,0.002483201869704937
Bearing1_6,0.9701797385620915,0.9955065359477123,0.0,0.0,0.03825136612021858,0.0,0.9951477723864137,0.16159388325246288
Bearing1_7,0.5858049284344106,0.859377305592445,0.0,0.0,0.0,0.0,0.6397176772537697,0.5304780237407763
Bearing2_1,0.9447493596780095,0.972923527259422,0.0,0.0,0.0546448087431694,0.0,0.9662100456621004,0.28995433789954334
Bearing2_2,0.9314094521120869,0.91969887076537,0.0,0.0,0.14754098360655737,0.0,0.8885281385281386,0.0
Bearing2_3,0.822847399829497,0.6688832054560955,0.5737704918032787,0.0,0.9453551912568305,0.5737704918032787,0.6345358887636227,0.0509207065013153
Bearing2_4,0.8069241011984021,0.8717265867731913,0.06557377049180328,0.06557377049180328,0.44808743169398907,0.06557377049180328,0.41228070175438597,0.40292397660818713
Bearing2_5,0.9150439924996393,0.9581710659166306,0.0,0.0,0.8251366120218578,0.0,0.9546165884194053,0.4403755868544601
Bearing2_6,0.8815977175463624,0.9581550166428912,0.0,0.0,0.5027322404371585,0.0,0.9435897435897437,0.0
Bearing2_7,0.13043478260869565,0.4420289855072464,0.8797814207650273,0.8524590163934427,1.0,0.8797814207650273,0.22448979591836735,0.0
Bearing3_1,0.6970873786407767,0.9255663430420712,0.00546448087431694,0.0,0.7814207650273225,0.00546448087431694,0.3343313373253493,0.0
Bearing3_2,0.8142944410507025,0.9613113418855631,0.0,0.0,0.32786885245901637,0.0,0.26213369963369965,0.07646520146520147
Bearing3_3,0.7634408602150536,0.8233486943164362,0.07650273224043716,0.0,0.8688524590163934,0.07103825136612021,0.7509881422924901,0.0
