model,cal_pinball
CNN-LSTM,0.08791045646065647
CNN-LSTM+DT,0.09632291812253879
Edge-CNN,0.08878621031908017
Edge-GRU,0.04966968548378562
GRU,0.09339629162660135
GRU+DT,0.10087724171844235
LSTM,0.08345958492364026
LSTM+DT,0.09952225342413905
TCN,0.09120804466875339
TCN+DT,0.0971632485376494
