detector,seed_mean,seed_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
Anomaly score $a_t$ (edge),1.0,1.0,0.27477017364657813,0.0,0.25940212150433944,0.0,0.26686507936507936,0.0,0.8097404057583644,0.0,0.23996841998536875,0.0
Isolation Forest,1.0,1.0,0.2693946587270049,0.03322341710020274,0.148826743812279,0.015913717511393834,0.19072044451850556,0.01396171882998731,0.7698946285227347,0.005232239009359916,0.16097139187052376,0.01764507932759165
Edge CQR lower bound,1.0,1.0,0.09605925633658575,0.02552171836685856,0.5245901639344263,0.031202873071096253,0.16129455383785862,0.036499830247562384,0.6870840530426218,0.0338431804995135,0.11597630076850263,0.011689892111182057
Cloud CQR lower bound (+DT),1.0,1.0,0.069858853789744,0.009104052787853333,0.6406300225008036,0.07659114469587822,0.12553832311688537,0.013648717840046561,0.6660732787904065,0.018118220913789333,0.07124374250086947,0.00313212442948304
